# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Fri Oct 14 10:01:25 CEST 2016
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: you choose not to include the TP-AGB phase!
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01900	Y = 0.28242	[M/H] = 0.119	eta_R = 0.200	Age = 	3.9811e+06 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	0.019000	6.6000	0.31855807	0.3186	-1.0195	3.4860	3.8567	7.319	12.545	11.463	10.120	8.766	7.124	5.407	4.787	4.487	2.59070277	0
	0.019000	6.6000	0.34999999	0.3500	-0.9580	3.4946	3.8706	7.165	12.262	11.169	9.832	8.517	6.921	5.273	4.635	4.350	2.65552020	0
	0.019000	6.6000	0.35975367	0.3598	-0.9406	3.4972	3.8752	7.122	12.182	11.086	9.752	8.449	6.864	5.235	4.591	4.311	2.67375851	0
	0.019000	6.6000	0.40000001	0.4000	-0.8715	3.5071	3.8921	6.949	11.873	10.757	9.435	8.179	6.639	5.086	4.420	4.157	2.74133730	0
	0.019000	6.6000	0.45454720	0.4545	-0.7825	3.5210	3.9140	6.726	11.490	10.328	9.007	7.814	6.349	4.899	4.205	3.961	2.81665659	0
	0.019000	6.6000	0.48639631	0.4864	-0.7351	3.5285	3.9260	6.608	11.290	10.099	8.780	7.622	6.197	4.801	4.091	3.858	2.85384226	0
	0.019000	6.6000	0.50000000	0.5000	-0.7161	3.5315	3.9311	6.560	11.212	10.008	8.691	7.546	6.136	4.762	4.046	3.817	2.86847806	0
	0.019000	6.6000	0.50406802	0.5041	-0.7104	3.5325	3.9330	6.546	11.187	9.979	8.662	7.522	6.118	4.750	4.033	3.805	2.87272143	0
	0.019000	6.6000	0.52393067	0.5239	-0.6814	3.5375	3.9404	6.473	11.067	9.837	8.523	7.404	6.026	4.690	3.964	3.743	2.89257503	0
	0.019000	6.6000	0.54524213	0.5452	-0.6541	3.5418	3.9481	6.405	10.956	9.707	8.395	7.294	5.941	4.633	3.900	3.685	2.91240072	0
	0.019000	6.6000	0.55000001	0.5500	-0.6488	3.5427	3.9499	6.392	10.935	9.682	8.370	7.272	5.924	4.622	3.887	3.674	2.91663504	0
	0.019000	6.6000	0.57270509	0.5727	-0.6169	3.5484	3.9583	6.312	10.805	9.524	8.213	7.139	5.824	4.557	3.813	3.608	2.93595243	0
	0.019000	6.6000	0.59897470	0.5990	-0.5842	3.5540	3.9676	6.231	10.676	9.365	8.052	6.999	5.724	4.490	3.738	3.541	2.95662570	0
	0.019000	6.6000	0.60000002	0.6000	-0.5830	3.5542	3.9680	6.228	10.672	9.360	8.046	6.994	5.720	4.487	3.735	3.539	2.95739889	0
	0.019000	6.6000	0.61360019	0.6136	-0.5654	3.5575	3.9733	6.183	10.601	9.270	7.955	6.916	5.665	4.452	3.696	3.504	2.96743226	0
	0.019000	6.6000	0.64153308	0.6415	-0.5299	3.5640	3.9830	6.095	10.460	9.092	7.772	6.755	5.555	4.381	3.618	3.435	2.98680902	0
	0.019000	6.6000	0.64999998	0.6500	-0.5193	3.5658	3.9856	6.068	10.419	9.039	7.718	6.708	5.523	4.360	3.595	3.415	2.99236870	0
	0.019000	6.6000	0.66445118	0.6645	-0.5016	3.5691	3.9905	6.024	10.348	8.949	7.625	6.626	5.469	4.325	3.556	3.382	3.00154042	0
	0.019000	6.6000	0.69014508	0.6901	-0.4704	3.5748	3.9987	5.946	10.217	8.788	7.464	6.484	5.374	4.264	3.492	3.325	3.01692724	0
	0.019000	6.6000	0.69999999	0.7000	-0.4597	3.5769	4.0023	5.919	10.171	8.732	7.407	6.434	5.342	4.243	3.470	3.306	3.02253795	0
	0.019000	6.6000	0.75000000	0.7500	-0.3275	3.6186	4.0670	5.589	9.335	7.812	6.545	5.684	4.930	4.024	3.289	3.175	3.04879928	0
	0.019000	6.6000	0.76505858	0.7651	-0.3137	3.6204	4.0691	5.554	9.272	7.753	6.491	5.634	4.893	3.994	3.263	3.151	3.05605555	0
	0.019000	6.6000	0.80000001	0.8000	-0.2807	3.6246	4.0722	5.472	9.116	7.614	6.364	5.517	4.806	3.923	3.202	3.093	3.07187057	0
	0.019000	6.6000	0.82359046	0.8236	-0.2610	3.6272	4.0756	5.423	9.020	7.529	6.287	5.447	4.754	3.881	3.166	3.059	3.08178854	0
	0.019000	6.6000	0.86896229	0.8690	-0.2229	3.6322	4.0806	5.327	8.831	7.367	6.141	5.314	4.653	3.799	3.096	2.994	3.09931421	0
	0.019000	6.6000	0.88421923	0.8842	-0.2095	3.6338	4.0814	5.294	8.763	7.312	6.091	5.269	4.618	3.770	3.071	2.970	3.10479379	0
	0.019000	6.6000	0.92093915	0.9209	-0.1803	3.6376	4.0851	5.221	8.611	7.187	5.980	5.169	4.541	3.707	3.018	2.921	3.11721945	0
	0.019000	6.6000	0.93421930	0.9342	-0.1693	3.6390	4.0859	5.193	8.555	7.141	5.939	5.132	4.512	3.684	2.998	2.902	3.12146688	0
	0.019000	6.6000	0.96810943	0.9681	-0.1421	3.6425	4.0880	5.125	8.408	7.026	5.839	5.042	4.441	3.626	2.950	2.856	3.13176560	0
	0.019000	6.6000	0.98421925	0.9842	-0.1290	3.6441	4.0885	5.092	8.336	6.971	5.790	5.000	4.406	3.597	2.927	2.834	3.13640642	0
	0.019000	6.6000	1.00263119	1.0026	-0.1158	3.6459	4.0906	5.060	8.260	6.914	5.741	4.956	4.372	3.570	2.905	2.813	3.14152336	0
	0.019000	6.6000	1.03421926	1.0342	-0.0913	3.6491	4.0922	4.998	8.124	6.810	5.650	4.876	4.307	3.517	2.862	2.773	3.14985085	0
	0.019000	6.6000	1.05761862	1.0576	-0.0743	3.6513	4.0938	4.956	8.027	6.737	5.587	4.822	4.263	3.481	2.834	2.745	3.15567398	0
