#  0. Tycho ID.
#  1. Parallax value [mas].
#  2. Parallax error [mas].
#  3. Johnson U magnitude [mag].
#  4. Johnson B magnitude [mag].
#  5. Johnson V magnitude [mag].
#  6. Cousins R magnitude [mag].
#  7. Cousins I magnitude [mag].
#  8. 2MASS J magnitude [mag].
#  9. 2MASS H magnitude [mag].
# 10. 2MASS K magnitude [mag].
# 11. Error Johnson U magnitude [mag].
# 12. Error Johnson B magnitude [mag].
# 13. Error Johnson V magnitude [mag].
# 14. Error Cousins R magnitude [mag].
# 15. Error Cousins I magnitude [mag].
# 16. Error 2MASS J magnitude [mag].
# 17. Error 2MASS H magnitude [mag].
# 18. Error 2MASS K magnitude [mag].
10-965-1,0.754,0.558,12.096,10.682,9.36,8.668,8.039,7.086,6.402,6.218,0.0146,0.0026,0.0026,0.0026,0.0026,0.024,0.053,0.02
12-42-1,23.341,0.241,12.901,11.765,10.627,9.893,9.266,8.412,7.791,7.636,0.009,0.003,0.003,0.003,0.003,0.024,0.031,0.02
12-120-1,0.453,0.772,14.226,12.234,10.598,9.7,8.792,7.568,6.733,6.477,0.0057,0.0021,0.0014,0.0014,0.0014,0.021,0.033,0.018
12-214-1,1.749,0.59,12.007,12.05,11.615,11.35,11.078,10.725,10.515,10.453,0.002,0.0008,0.0008,0.0008,0.0009,0.026,0.026,0.019
12-717-1,2.656,0.611,12.732,12.665,12.036,11.668,11.31,10.85,10.563,10.505,0.0022,0.0039,0.0039,0.0039,0.0034,0.026,0.025,0.023
12-843-1,2.434,0.822,12.952,12.264,11.332,10.825,10.363,9.666,9.222,9.101,0.0046,0.0046,0.0006,0.001,0.001,0.023,0.029,0.02
12-869-1,4.437,0.85,12.243,12.28,11.673,11.317,10.959,10.513,10.103,10.077,0.008,0.0015,0.0015,0.004,0.005,0.03,0.034,0.018
12-1097-1,8.257,0.915,12.957,12.485,11.63,11.141,10.699,10.037,9.644,9.536,0.002,0.001,0.001,0.001,0.001,0.024,0.023,0.021
22-821-1,6.86,3.25,10.847,11.826,12.065,12.183,12.324,12.649,12.756,12.884,0.002,0.0007,0.0007,0.0007,0.0008,0.028,0.026,0.024
30-78-1,2.752,0.412,11.981,12.034,11.546,11.253,10.954,10.561,10.32,10.261,0.0012,0.0003,0.0005,0.0003,0.0003,0.024,0.022,0.021
30-820-1,0.743,0.578,13.631,12.702,11.619,11.066,10.563,9.789,9.275,9.128,0.0016,0.0008,0.0006,0.0006,0.0006,0.026,0.023,0.021
30-901-1,5.913,0.294,13.387,12.823,11.971,11.484,11.063,10.499,10.055,9.953,0.013,0.0015,0.0027,0.0015,0.0027,0.03,0.022,0.026
49-886-1,13.064,0.756,11.027,12.209,12.412,12.325,11.968,11.265,10.733,10.557,0.0003,0.001,0.001,0.001,0.001,0.024,0.022,0.019
66-839-1,6.021,0.752,12.392,12.224,11.487,11.068,10.656,10.06,9.72,9.624,0.0019,0.0009,0.0004,0.0007,0.0009,0.023,0.022,0.019
66-860-1,1.385,0.249,12.823,12.512,12.067,11.804,11.521,11.083,10.915,10.817,0.0019,0.0005,0.0012,0.0012,0.0016,0.023,0.023,0.021
66-920-1,0.925,0.252,14.095,12.531,10.938,10.064,9.253,7.988,7.236,6.994,0.009,0.005,0.005,0.005,0.005,0.021,0.036,0.026
66-944-1,2.459,0.527,10.229,10.157,10.01,9.931,9.836,9.647,9.587,9.559,0.003,0.0015,0.0015,0.0015,0.0015,0.022,0.022,0.021
66-1075-1,1.155,0.268,13.802,12.509,11.216,10.524,9.905,8.911,8.296,8.14,0.005,0.0012,0.0012,0.0012,0.0012,0.034,0.036,0.027
117-727-1,2.427,0.306,10.072,9.98,9.779,9.655,9.515,9.249,9.194,9.141,0.0012,0.0003,0.0005,0.0005,0.0005,0.024,0.022,0.023
246-1068-1,141.5,2.22,12.389,11.151,9.65,8.617,7.389,6.176,5.605,5.311,0.0073,0.0037,0.0027,0.0027,0.0013,0.021,0.033,0.023
261-224-1,143.553,0.972,14.532,13.319,11.675,10.459,8.889,7.319,6.707,6.371,0.006,0.003,0.003,0.003,0.0021,0.023,0.051,0.016
266-468-1,0.53,1.04,8.695,9.238,9.352,9.387,9.441,9.554,9.629,9.621,0.0017,0.0017,0.0017,0.0017,0.0017,0.023,0.026,0.02
272-1051-1,295.804,0.536,14.223,12.905,11.153,9.859,8.184,6.505,5.945,5.654,0.0078,0.002,0.002,0.0028,0.0028,0.023,0.024,0.024
277-509-1,0.67,1.39,8.906,9.881,10.115,10.219,10.353,10.614,10.748,10.801,0.0005,0.0012,0.0012,0.0012,0.0012,0.023,0.023,0.024
278-150-1,32.581,0.903,12.012,10.818,9.585,8.802,8.133,7.23,6.594,6.425,0.0024,0.0005,0.0011,0.0011,0.0011,0.026,0.059,0.02
308-229-1,-2.92,2.14,9.504,10.206,10.369,10.441,10.537,10.754,10.804,10.865,0.002,0.0007,0.0007,0.0007,0.0004,0.027,0.027,0.023
